nombre_empresa;pais;opera_otrospaises;sector_empresa;numero_empleados;infraestructura_critica;activos_criticos;pilares_prioritarios;actor_amenaza;incidente_sufrido;pilar_critico;sistemas_operativos;despliegue_sistemas;centros_datos;segmentacion_red;vpn;firewall;monitorizacion_red;balanceadores;antiphishing;edr;actualizaciones;frecuencia_actualizaciones;autenticacion;politica_contrase�as;iam;revocacion;backups;evento_amenaza
EnergiaSoluciones_ITA08;Italia;Si;Energia;50 - 1000;Si;Infraestructura TIC (Hardware),Redes de comunicaciones;Disponibilidad,Confidencialidad,Integridad;Factor meteorologico adverso (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube publica (AWS, Azure, GCP);1;Parcial;Si, obligatoria;Si;Si, de forma continua;Si;Si;Si, EDR;Si;Con frecuencia;Todos los accesos;Si, obligatoria;Azure AD / Okta / LDAP;No;Diarias;
AloneSoluciones_FLD12;Finlandia;Si;Industria / Manufactura;50 - 1000;No;Infraestructura TIC (Hardware);Integridad,Disponibilidad,Confidencialidad;Factor meteorologico adverso (externo, accidental);Ataques contra la integridad;Disponibilidad;Debian 12;Local (On-premise);Mas de 2;Si, completa;Si, obligatoria;No;Si, de forma continua;Si;No;Solo antivirus basico;No;Mas de un mes;Todos los accesos;Si, obligatoria;Azure AD / Okta / LDAP;Si;Diarias;
AdministraciónSoluciones_GRE00;Grecia;Sí;Administración pública;Menos de 50;Sí;Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Híbrido;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales
AguaSoluciones_POR01;Portugal;Sí;Agua potable;50 - 1000;Sí;Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias
PoliticalSoluciones_BUL07;Bulgaria;Sí;Transporte;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;macOS 15;Híbrido;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Ninguna;No;Diarias;
BancaSoluciones_ALE46;Alemania;Sí;Banca / Finanzas;50 - 1000;Sí;Redes de comunicaciones, Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Híbrido;Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias
DefensaSoluciones_CRO48;Croacia;Sí;Defensa;Más de 1000;Sí;Datos / Información sensible, Servicios en la nube, Redes de comunicaciones;Confidencialidad, Integridad, Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Debian 12;Local (On-premise);Más de 2;Parcial;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias
MovementSoluciones_BLG53;Bélgica;Sí;Agua potable;50 - 1000;Sí;Redes de comunicaciones;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 11;Nube privada;Más de 2;Parcial;Sí, obligatoria;Sí;Sí, parcialmente;No;No;Solo antivirus básico;Sí;Mensualmente;No;Sí, obligatoria;Ninguna;Sí;Diarias
InfraestructuraSoluciones_EST56;Estonia;Sí;Infraestructura digital;Menos de 50;Sí;Servicios en la nube, Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias
SectorSoluciones_SUE59;Suecia;Sí;Sector espacial;Menos de 50;Sí;Aplicaciones informáticas (Software), Redes de comunicaciones;Integridad, Confidencialidad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 11;Nube privada;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias
ServiciosSoluciones_REP61;República Checa;No;Servicios postales / Mensajería;50 - 1000;Sí;Aplicaciones informáticas (Software), Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube pública (AWS, Azure, GCP);1;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;No;Mensualmente;Todos los accesos;Sí, obligatoria;Ninguna;Sí;Semanales;
PartnerSoluciones_MAL29;Malta;No;Industria / Manufactura;50 - 1000;No;Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;Parcial;Sí, obligatoria;No;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;Semanales;Todos los accesos;Sí, obligatoria;Ninguna;No;No aplican;
PartnerSoluciones_MAL29;Malta;No;Industria / Manufactura;50 - 1000;No;Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;Parcial;Sí, obligatoria;No;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;Semanales;Todos los accesos;Sí, obligatoria;Ninguna;No;No aplican;
EducacionSoluciones_CHI91;Chipre;No;Educacion;Mas de 1000;No;Datos / Informacion sensible,Aplicaciones informaticas (Software);Confidencialidad,Integridad,Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 8;Hibrido;2;Parcial;Opcional;Si;Si, parcialmente;Si;Si;No;No;Mensualmente;Todos los accesos;Si, obligatoria;Ninguna;No;Semanales;
InfraestructuraSoluciones_EST56;Estonia;Sí;Infraestructura digital;Menos de 50;Sí;Servicios en la nube, Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias
SpaceSoluciones_BEL96;Bélgica;Sí;TIC;50 - 1000;Sí;Infraestructura TIC (Hardware),Sistemas de Control Industrial (ICS/SCADA),Redes de comunicaciones;Integridad,Disponibilidad,Confidencialidad;Factor meteorológico adverso (externo, intencionado);Ataques contra la integridad;Integridad;Windows 10;Local (On-premise);Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Semanales;
PoliticalSoluciones_BUL07;Bulgaria;Sí;Transporte;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la integridad;Disponibilidad;macOS 15;Híbrido;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Ninguna;No;Diarias;
GestiónSoluciones_IRL09;Irlanda;No;Gestión de residuos;Menos de 50;No;Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Híbrido;1;Sí, completa;Opcional;No;No;No;No;Solo antivirus básico;No;Mensualmente;Solo sistemas críticos;Sí, obligatoria;Ninguna;No;Semanales;
SectorSoluciones_BUL17;Bulgaria;Sí;Sector espacial;Menos de 50;Sí;Servicios en la nube, Redes de comunicaciones, Datos / Información sensible;Integridad, Confidencialidad, Disponibilidad;Empleado con privilegios (interno, accidental);Ataques contra la integridad;Integridad;Windows 11;Híbrido;2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Diarias;
AguasSoluciones_SUE24;Suecia;No;Aguas residuales;Menos de 50;Sí;Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Híbrido;1;Parcial;Opcional;Sí;Sí, parcialmente;No;Sí;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;Diarias
PartnerSoluciones_MAL29;Malta;No;Industria / Manufactura;50 - 1000;No;Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;Parcial;Sí, obligatoria;No;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;Semanales;Todos los accesos;Sí, obligatoria;Ninguna;No;No aplican;
PoliticalSoluciones_BUL07;Bulgaria;Sí;Transporte;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la integridad;Disponibilidad;macOS 15;Híbrido;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Ninguna;No;Diarias;
Ejemplo1;Francia;Sí;Energia;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;macOS 15;Híbrido;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Ninguna;No;Diarias;
Ejemplo2;Alemania;Sí;Educacion;Menos de 1000;Sí;Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Híbrido;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Ninguna;No;Diarias;
Ejemplo2;Alemania;Sí;Energía;Menos de 1000;Sí;Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Factor metereológico adverso (externo, accidental);Ataques contra la integridad;Disponibilidad;macOS 15;Híbrido;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Ninguna;No;Diarias;
prueba_fraude;Espa�a;Reino Unido,Estados Unidos,Uni�n Europea;Energ�a;M�s de 1000;S�;Datos / Informaci�n sensible,Datos personales;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad,Ataques contra la confidencialidad;Integridad;Windows 11,Windows 10;Nube privada;M�s de 2;S�, completa;Opcional;S�;S�, de forma continua;S�;S�;S�, EDR;S�;Con frecuencia;Todos los accesos;S�, obligatoria;Azure AD / Okta / LDAP;No;Diarias;
prueba_Brecha;Austria;No;Educación;Más de 1000;No;Datos / Información sensible, Redes de comunicaciones, Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Debian 12;Local (On-premise);1;No;Opcional;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;No;Semanales;
prueba_DDoS;Francia;Sí;Gestión de servicios;50 - 1000;No;Servicios en la nube, Redes de comunicaciones, Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);1;No;No;No;Sí, de forma continua;No;Sí;Solo antivirus básico;Sí;Semanales;No;Sí, obligatoria;Ninguna;No;Semanales;
prueba_DDoS;Grecia;Sí;Industria / Manufactura;Más de 1000;No;Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones, Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Si;Solo antivirus básico;Sí;Con frecuencia;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;
prueba_Ransomware;Finlandia;Sí;Defensa;Más de 1000;Sí;Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Local (On-premise);2;Sí, completa;Opcional;Sí;Sí, de forma continua;No;No;Solo antivirus básico;No;Semanales;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;No aplican;
prueba_Destruccion_Fisica;Lituania;Sí;Medios / Entretenimiento;Menos de 50;No;Infraestructura TIC (Hardware);Integridad, Disponibilidad, Confidencialidad;Factor meteorológico adverso (externo, intencionado);Ataques contra la integridad;Integridad;Windows 11;Híbrido;Más de 2;Parcial;Sí, obligatoria;No;Sí, parcialmente;Sí;Sí;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;
AbilitySoluciones_CRO126;Croacia;Sí;Alimentación;Más de 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la integridad;Integridad;Windows 10;Híbrido;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Ninguna;No;No aplican;
