nombre_empresa;pais;opera_otrospaises;sector_empresa;numero_empleados;infraestructura_critica;activos_criticos;pilares_prioritarios;actor_amenaza;incidente_sufrido;pilar_critico;sistemas_operativos;despliegue_sistemas;centros_datos;segmentacion_red;vpn;firewall;monitorizacion_red;balanceadores;antiphishing;edr;actualizaciones;frecuencia_actualizaciones;autenticacion;politica_contraseï¿½as;iam;revocacion;backups;evento_amenaza
iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad,Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Nube privada;Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad,Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Nube privada;Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad,Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Nube privada;Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad,Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Nube privada;Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
prueba;España;Reino Unido,Estados Unidos;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Local (On-premise);2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;No;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
prueba;España;Reino Unido,Estados Unidos;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11,Windows 10;Local (On-premise);2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;No;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;3.0
iber;España;No;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;3.0
iber;España;No;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;3.0
iber;España;No;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;
iber;España;Reino Unido;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;
iber;España;Reino Unido;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;
iber;España;Reino Unido;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;3.0
iber;España;No;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;3.0
iber;España;Reino Unido;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;3.0
iber;España;Reino Unido;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;3.0
iber;España;No;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;3.0
iber;España;Reino Unido;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;Fraude
prueba;Croacia;Estados Unidos;Salud;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 11;Local (On-premise);1;Sí, completa;No;Sí;No;Sí;Sí;Solo antivirus básico;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;Fraude
prueba;Croacia;Estados Unidos;Salud;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 11;Local (On-premise);1;Sí, completa;No;Sí;No;Sí;Sí;Solo antivirus básico;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;3
prueba;Croacia;Estados Unidos;Salud;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 11;Local (On-premise);1;Sí, completa;No;Sí;No;Sí;Sí;Solo antivirus básico;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;3
prueba;Croacia;Estados Unidos;Salud;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 11;Local (On-premise);1;Sí, completa;No;Sí;No;Sí;Sí;Solo antivirus básico;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;3
prueba;Croacia;Estados Unidos;Salud;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 11;Local (On-premise);1;Sí, completa;No;Sí;No;Sí;Sí;Solo antivirus básico;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;3
prueba;Croacia;Estados Unidos;Salud;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 11;Local (On-premise);1;Sí, completa;No;Sí;No;Sí;Sí;Solo antivirus básico;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;3
prueba;Croacia;Estados Unidos;Salud;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 11;Local (On-premise);1;Sí, completa;No;Sí;No;Sí;Sí;Solo antivirus básico;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;3
prueba;Croacia;Estados Unidos;Salud;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 11;Local (On-premise);1;Sí, completa;No;Sí;No;Sí;Sí;Solo antivirus básico;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;Fraude
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Fraude
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Fraude
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Fraude
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Fraude
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Fraude
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Fraude
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Fraude
ismaelEnterprise3;Grecia;Reino Unido;Educación;50 - 1000;No;Datos / Información sensible,Datos personales;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Confidencialidad;Windows 10;Local (On-premise);1;No;No;No;No;Sí;No;Sí, EDR;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Fraude
ismaelEnterprise3;España;No;Alimentación;50 - 1000;Sí;Redes de comunicaciones,Servicios en la nube,Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);1;Sí, completa;No;No;Sí, parcialmente;Sí;No;Sí, EDR;Sí;No tienen un plan definido de actualizaciones;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;Fraude
ismaelEnterprise3;España;No;Alimentación;50 - 1000;Sí;Redes de comunicaciones,Servicios en la nube,Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);1;Sí, completa;No;No;Sí, parcialmente;Sí;No;Sí, EDR;Sí;No tienen un plan definido de actualizaciones;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;Fraude
ismaelEnterprise3;España;No;Alimentación;50 - 1000;Sí;Redes de comunicaciones,Servicios en la nube,Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);1;Sí, completa;No;No;Sí, parcialmente;Sí;No;Sí, EDR;Sí;No tienen un plan definido de actualizaciones;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;Fraude
Iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad,Ataques contra la integridad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
Iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad,Ataques contra la integridad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;Fraude
Iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad,Ataques contra la integridad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;Fraude
Iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad,Ataques contra la integridad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;Fraude
Iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad,Ataques contra la integridad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
Iberdrola;España;Reino Unido,Estados Unidos,Unión Europea;Energía;Más de 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad,Ataques contra la integridad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);Más de 2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;Fraude
ismaelEnterprise3;Finlandia;No;Energía;Más de 1000;Sí;Infraestructura TIC (Hardware),Redes de comunicaciones,Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Local (On-premise);1;Sí, completa;Opcional;Sí;Sí, de forma continua;No;Sí;Solo antivirus básico;Sí;Más de un mes;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
ismaelEnterprise3;Finlandia;No;Energía;Más de 1000;Sí;Infraestructura TIC (Hardware),Redes de comunicaciones,Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Local (On-premise);1;Sí, completa;Opcional;Sí;Sí, de forma continua;No;Sí;Solo antivirus básico;Sí;Más de un mes;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Semanales;
iber;España;Estados Unidos;Energía;Más de 1000;Sí;Aplicaciones informáticas (Software),Redes de comunicaciones,Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Local (On-premise);2;Sí, completa;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;No;Sí;Más de un mes;Todos los accesos;Sí, obligatoria;Solución propia;Sí;Diarias;
iber;España;Estados Unidos;Energía;Más de 1000;Sí;Aplicaciones informáticas (Software),Redes de comunicaciones,Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Local (On-premise);2;Sí, completa;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;No;Sí;Más de un mes;Todos los accesos;Sí, obligatoria;Solución propia;Sí;Diarias;
ismaelEnterprise3;España;Reino Unido;Infraestructura digital;50 - 1000;Sí;Datos / Información sensible,Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);2;Parcial;Opcional;No;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Más de un mes;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;
