nombre_empresa;pais;opera_otrospaises;sector_empresa;numero_empleados;infraestructura_critica;activos_criticos;pilares_prioritarios;actor_amenaza;incidente_sufrido;pilar_critico;sistemas_operativos;despliegue_sistemas;centros_datos;segmentacion_red;vpn;firewall;monitorizacion_red;balanceadores;antiphishing;edr;actualizaciones;frecuencia_actualizaciones;autenticacion;politica_contraseñas;iam;revocacion;backups;evento_amenaza
IndustriaSoluciones_PAÍ13;Países Bajos;Sí;Industria química;Más de 1000;Sí;Redes de comunicaciones, Servicios en la nube, Datos / Información sensible, Aplicaciones informáticas (Software);Integridad, Disponibilidad, Confidencialidad;Empleado con privilegios (interno, intencionado);Ataques contra la integridad;Integridad;Windows 11;Local (On-premise);2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;Más de un mes;Solo sistemas críticos;Sí, obligatoria;Solución propia;No;Diarias;Fraude
InfraestructuraSoluciones_ALE14;Alemania;Sí;Infraestructura digital;Menos de 50;Sí;Redes de comunicaciones, Aplicaciones informáticas (Software);Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Híbrido;1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
MediosSoluciones_POL15;Polonia;No;Medios / Entretenimiento;50 - 1000;No;Infraestructura TIC (Hardware), Aplicaciones informáticas (Software), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Ubuntu 24;Nube privada;2;No;Opcional;Sí;Sí, de forma continua;Sí;No;Solo antivirus básico;No;Mensualmente;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;No aplican;DDoS
SaludSoluciones_ITA16;Italia;Sí;Salud;Menos de 50;Sí;Datos / Información sensible, Datos personales, Aplicaciones informáticas (Software), Servicios en la nube;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11;Local (On-premise);2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Fraude
SectorSoluciones_BUL17;Bulgaria;Sí;Sector espacial;Menos de 50;Sí;Servicios en la nube, Redes de comunicaciones, Datos / Información sensible;Integridad, Confidencialidad, Disponibilidad;Empleado con privilegios (interno, accidental);Ataques contra la integridad;Integridad;Windows 11;Híbrido;2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Fraude
ServiciosSoluciones_LET18;Letonia;No;Servicios empresariales;50 - 1000;No;Sistemas de Control Industrial (ICS/SCADA), Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);2;Parcial;Opcional;Sí;Sí, parcialmente;No;No;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Diarias;DDoS
ServiciosSoluciones_REP19;República Checa;No;Servicios postales / Mensajería;50 - 1000;Sí;Aplicaciones informáticas (Software), Servicios en la nube, Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 14;Nube pública (AWS, Azure, GCP);2;Sí, completa;No;Sí;Sí, parcialmente;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Diarias;DDoS
TransporteSoluciones_DIN20;Dinamarca;Sí;Transporte;Menos de 50;Sí;Redes de comunicaciones, Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube pública (AWS, Azure, GCP);1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
AdministraciónSoluciones_REP21;República Checa;Sí;Administración pública;Menos de 50;Sí;Datos / Información sensible, Aplicaciones informáticas (Software), Servicios en la nube;Confidencialidad, Integridad, Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11;Híbrido;Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
AguaSoluciones_ESL22;Eslovaquia;Sí;Agua potable;50 - 1000;Sí;Redes de comunicaciones, Aplicaciones informáticas (Software), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Ubuntu 24;Híbrido;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
TheirSoluciones_ELV23;Eslovaquia;Sí;Defensa;Más de 1000;Sí;Sistemas de Control Industrial (ICS/SCADA), Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Local (On-premise);Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;No;Sí;Sí, EDR;Sí;Más de un mes;Todos los accesos;Sí, obligatoria;Ninguna;Sí;Mensualmente;Destrucción física
AguasSoluciones_SUE24;Suecia;No;Aguas residuales;Menos de 50;Sí;Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Híbrido;1;Parcial;Opcional;Sí;Sí, parcialmente;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;Diarias;DDoS
BancaSoluciones_LIT25;Lituania;Sí;Banca / Finanzas;50 - 1000;Sí;Datos / Información sensible, Infraestructura TIC (Hardware), Aplicaciones informáticas (Software), Datos personales;Confidencialidad, Integridad, Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11;Nube pública (AWS, Azure, GCP);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;No aplican;Brecha de datos
ComercioSoluciones_EST26;Estonia;No;Comercio minorista;50 - 1000;No;Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Nube privada;1;Sí, completa;No;Sí;Sí, parcialmente;No;Sí;Sí, EDR;Sí;Mensualmente;No;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;DDoS
DefensaSoluciones_MAL27;Malta;No;Defensa;Más de 1000;Sí;Redes de comunicaciones, Infraestructura TIC (Hardware), Aplicaciones informáticas (Software);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;Más de 2;Parcial;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;No;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Solución propia;Sí;Diarias;DDoS
EducaciónSoluciones_POR28;Portugal;Sí;Educación;Más de 1000;No;Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube privada;1;No;Opcional;Sí;Sí, parcialmente;Sí;Sí;Solo antivirus básico;Sí;Más de un mes;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Diarias;DDoS
PartnerSoluciones_MAL29;Malta;No;Industria / Manufactura;50 - 1000;No;Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;Parcial;Sí, obligatoria;No;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;Semanales;Todos los accesos;Sí, obligatoria;Ninguna;No;No aplican;Destrucción física
PartSoluciones_DNM30;Dinamarca;Sí;Banca / Finanzas;Más de 1000;Sí;Infraestructura TIC (Hardware);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 11;Híbrido;2;Sí, completa;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Diarias;Destrucción física
WinSoluciones_ESP31;España;Sí;Gestión de residuos;Menos de 50;No;Sistemas de Control Industrial (ICS/SCADA), Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Híbrido;1;No;No;Sí;No;No;No;Sí, EDR;Sí;Semanales;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Destrucción física
TicSoluciones_DIN32;Dinamarca;Sí;TIC;50 - 1000;Sí;Infraestructura TIC (Hardware), Aplicaciones informáticas (Software), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Híbrido;2;No;No;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
IndustriaSoluciones_FRA33;Francia;No;Industria / Manufactura;Más de 1000;No;Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Híbrido;2;No;No;Sí;No;No;Sí;Sí, EDR;Sí;Más de un mes;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
IndustriaSoluciones_CRO34;Croacia;Sí;Industria química;Más de 1000;Sí;Datos / Información sensible, Infraestructura TIC (Hardware);Integridad, Confidencialidad, Disponibilidad;Empleado con privilegios (interno, accidental);Ataques contra la integridad;Integridad;Ubuntu 25;Híbrido;1;Sí, completa;Opcional;Sí;Sí, parcialmente;Sí;Sí;No;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Diarias;Fraude
InfraestructuraSoluciones_ALE35;Alemania;Sí;Infraestructura digital;Menos de 50;Sí;Redes de comunicaciones, Infraestructura TIC (Hardware), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
MediosSoluciones_IRL36;Irlanda;Sí;Medios / Entretenimiento;50 - 1000;No;Redes de comunicaciones, Infraestructura TIC (Hardware), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);2;Parcial;Sí, obligatoria;Sí;No;No;No;No;Sí;Mensualmente;No;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
SaludSoluciones_BÉL37;Bélgica;Sí;Salud;Menos de 50;Sí;Datos personales;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la confidencialidad;Confidencialidad;macOS 14;Híbrido;1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Diarias;Brecha de datos
SectorSoluciones_FIN38;Finlandia;Sí;Sector espacial;Menos de 50;Sí;Sistemas de Control Industrial (ICS/SCADA), Datos personales, Infraestructura TIC (Hardware);Integridad, Disponibilidad, Confidencialidad;Empleado con privilegios (interno, intencionado);Ataques contra la integridad;Integridad;Fedora 42;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;Ransomware
ServiciosSoluciones_POL39;Polonia;No;Servicios empresariales;50 - 1000;No;Datos personales, Datos / Información sensible;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 10;Local (On-premise);1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;No se revisa si existen nuevas actualizaciones;No;Sí, obligatoria;Solución propia;No;Semanales;Brecha de datos
ServiciosSoluciones_IRL40;Irlanda;No;Servicios postales / Mensajería;50 - 1000;Sí;Redes de comunicaciones, Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Ubuntu 25;Híbrido;2;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;Mensualmente;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;No aplican;DDoS
TransporteSoluciones_ESL41;Eslovaquia;Sí;Transporte;Menos de 50;Sí;Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones, Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows XP;Híbrido;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
AdministraciónSoluciones_ALE42;Alemania;Sí;Administración pública;Menos de 50;Sí;Datos / Información sensible, Aplicaciones informáticas (Software);Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;macOS 15;Local (On-premise);2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Brecha de datos
AguaSoluciones_RUM43;Rumanía;Sí;Agua potable;50 - 1000;Sí;Redes de comunicaciones, Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Híbrido;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
AlimentaciónSoluciones_ESL44;Eslovaquia;Sí;Alimentación;Menos de 50;Sí;Datos / Información sensible, Redes de comunicaciones, Infraestructura TIC (Hardware), Servicios en la nube;Integridad, Confidencialidad, Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la integridad;Integridad;Debian 12;Nube privada;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Fraude
AguasSoluciones_CHI45;Chipre;Sí;Aguas residuales;Menos de 50;Sí;Sistemas de Control Industrial (ICS/SCADA), Aplicaciones informáticas (Software);Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Local (On-premise);2;No;No;Sí;Sí, parcialmente;Sí;Sí;No;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Semanales;DDoS
BancaSoluciones_ALE46;Alemania;Sí;Banca / Finanzas;50 - 1000;Sí;Redes de comunicaciones, Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Híbrido;Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
ComercioSoluciones_EST47;Estonia;Sí;Comercio minorista;50 - 1000;No;Aplicaciones informáticas (Software), Servicios en la nube, Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);1;Parcial;No;No;No;No;Sí;Solo antivirus básico;No;Más de un mes;No;Sí, obligatoria;Ninguna;No;No aplican;DDoS
DefensaSoluciones_CRO48;Croacia;Sí;Defensa;Más de 1000;Sí;Datos / Información sensible, Servicios en la nube, Redes de comunicaciones;Confidencialidad, Integridad, Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Debian 12;Local (On-premise);Más de 2;Parcial;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
EducaciónSoluciones_IRL49;Irlanda;No;Educación;Más de 1000;No;Servicios en la nube, Aplicaciones informáticas (Software);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 13;Nube privada;1;No;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;No;No;No se revisa si existen nuevas actualizaciones;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;No aplican;DDoS
EnergíaSoluciones_AUS50;Austria;Sí;Energía;50 - 1000;Sí;Redes de comunicaciones, Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube privada;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
GestiónSoluciones_RUM51;Rumanía;Sí;Gestión de residuos;Menos de 50;No;Sistemas de Control Indrustrial (ICS/SCADA), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Híbrido;1;Sí, completa;Opcional;No;Sí, de forma continua;Sí;Sí;No;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;Diarias;DDoS
GestiónSoluciones_FIN52;Finlandia;No;Gestión de servicios;50 - 1000;No;Datos / Información sensible, Infraestructura TIC (Hardware), Servicios en la nube;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Debian 11;Nube privada;1;Sí, completa;Sí, obligatoria;No;No;Sí;No;No;Sí;Mensualmente;No;Sí, obligatoria;Ninguna;Sí;Diarias;Ransomware
MovementSoluciones_BLG53;Bélgica;Sí;Agua potable;50 - 1000;Sí;Redes de comunicaciones;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 11;Nube privada;Más de 2;Parcial;Sí, obligatoria;Sí;Sí, parcialmente;No;No;Solo antivirus básico;Sí;Mensualmente;No;Sí, obligatoria;Ninguna;Sí;Diarias;Destrucción física
